,date,country,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration_sec,sunshine_duration_sec,precipitation_sum,rain_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
62,2010-03-04 00:00:00+00:00,Malaysia,53.0,29.380999,22.181,25.110163,35.139877,26.776472,29.908281,0,0,43469.24,39600.0,4.2,4.2,13.0,10.594036,28.8,329.5805,19.4,3.946361
63,2010-03-05 00:00:00+00:00,Malaysia,63.0,31.181,22.431,25.395586,38.37739,26.670483,30.96829,0,0,43477.047,32850.535,14.7,14.7,7.0,6.130579,20.519999,138.88802,19.68,4.0101323
64,2010-03-06 00:00:00+00:00,Malaysia,53.0,31.781,23.480999,26.560167,39.226444,28.08374,32.366337,0,0,43484.855,39600.0,1.6000001,1.6000001,8.0,6.924738,23.4,321.02753,22.41,4.596835
65,2010-03-07 00:00:00+00:00,Malaysia,55.0,29.181,22.681,25.06225,35.732655,27.124523,30.191595,0,0,43492.66,37900.836,4.5999994,4.5999994,11.0,7.928177,25.56,347.39142,16.72,3.3686337
66,2010-03-08 00:00:00+00:00,Malaysia,61.0,30.980999,22.681,25.499756,38.698883,27.798927,30.920034,0,0,43500.535,39603.305,4.7,4.7,13.0,9.290511,30.960001,293.86014,20.89,4.236885
67,2010-03-09 00:00:00+00:00,Malaysia,53.0,26.781,22.130999,24.247663,31.86338,26.59796,29.064089,0,0,43508.473,33155.49,4.7,4.7,14.0,8.311245,22.68,327.0567,13.87,2.7762232
68,2010-03-10 00:00:00+00:00,Malaysia,63.0,28.630999,21.130999,23.310165,34.250713,24.929222,27.817465,0,0,43516.473,19692.705,16.800001,16.800001,20.0,6.28713,33.48,87.06439,11.65,2.357654
69,2010-03-11 00:00:00+00:00,Malaysia,55.0,29.181,21.630999,24.345583,34.504513,25.884281,29.099344,0,0,43524.527,23981.857,5.5,5.5,11.0,6.193674,18.72,261.02747,13.35,2.785493
70,2010-03-12 00:00:00+00:00,Malaysia,65.0,29.531,22.130999,24.435165,36.34361,26.395596,29.581701,0,0,43532.633,36818.188,29.099997,29.099997,19.0,5.4119864,20.519999,186.95284,18.71,3.6997154
71,2010-03-13 00:00:00+00:00,Malaysia,55.0,30.331,22.380999,24.980997,35.92173,26.966576,30.137552,0,0,43540.785,38239.78,4.5,4.5,11.0,7.208994,19.44,25.709915,19.22,3.874039
72,2010-03-14 00:00:00+00:00,Malaysia,63.0,28.230999,22.031,24.387253,33.52475,26.401852,29.424612,0,0,43548.973,36732.836,12.8,12.8,11.0,5.904439,21.24,256.23914,13.67,2.722069
73,2010-03-15 00:00:00+00:00,Malaysia,63.0,30.081,22.431,25.226837,37.593884,27.30313,30.794947,0,0,43557.203,40037.195,11.100001,11.100001,14.0,6.792466,24.119999,289.59888,21.16,4.2259974
74,2010-03-16 00:00:00+00:00,Malaysia,61.0,26.181,22.181,23.631002,31.708061,26.804457,28.96723,0,0,43565.453,18157.3,8.400002,8.400002,15.0,4.510787,16.199999,305.67654,9.82,1.9482116
75,2010-03-17 00:00:00+00:00,Malaysia,53.0,29.681,22.431,24.99975,37.054653,26.797434,29.99278,0,0,43573.734,38609.42,2.3000002,2.3000002,7.0,8.209263,21.599998,248.90753,17.85,3.672003
76,2010-03-18 00:00:00+00:00,Malaysia,61.0,29.831,22.230999,24.878916,37.195038,26.77392,29.97838,0,0,43582.03,39579.684,9.3,9.3,14.0,9.0,21.96,273.57626,19.39,3.9247096
77,2010-03-19 00:00:00+00:00,Malaysia,63.0,26.281,21.980999,23.753916,32.238583,26.470919,28.925497,0,0,43590.336,5515.2207,33.199997,33.199997,18.0,5.8603754,16.199999,224.99988,6.65,1.3950785
78,2010-03-20 00:00:00+00:00,Malaysia,63.0,28.531,22.730999,24.418495,34.708553,27.418118,29.592125,0,0,43598.652,31792.428,26.3,26.3,7.0,8.4042845,24.84,241.06429,15.44,3.0265331
79,2010-03-21 00:00:00+00:00,Malaysia,53.0,28.281,22.181,24.303919,35.39863,26.859537,29.361261,0,0,43606.97,32049.715,3.2,3.2,14.0,6.725354,21.599998,250.48906,14.22,2.8854563
80,2010-03-22 00:00:00+00:00,Malaysia,63.0,30.531,22.130999,25.187248,38.650623,26.570894,30.67346,0,0,43615.28,37030.246,9.599999,9.599999,12.0,5.3999996,21.24,280.84027,20.81,4.2365236
81,2010-03-23 00:00:00+00:00,Malaysia,63.0,30.781,22.230999,25.295588,37.149258,26.967438,30.663155,0,0,43623.574,33412.73,5.7,5.7,7.0,7.386582,23.759998,278.36588,19.67,3.9861746
82,2010-03-24 00:00:00+00:00,Malaysia,63.0,29.581,22.531,25.528917,35.761833,27.595005,30.897203,0,0,43631.86,39600.0,6.2,6.2,10.0,7.2,26.28,323.72327,19.83,4.0364227
83,2010-03-25 00:00:00+00:00,Malaysia,51.0,30.781,22.181,25.901834,36.28163,26.654997,30.923056,0,0,43640.117,39196.324,0.1,0.1,1.0,7.0911775,21.96,342.83795,19.93,4.168937
84,2010-03-26 00:00:00+00:00,Malaysia,51.0,30.181,22.630999,25.783081,36.319656,26.660906,30.519196,0,0,43648.34,39864.227,0.5,0.5,2.0,9.659814,23.039999,339.91553,22.98,4.7128463
85,2010-03-27 00:00:00+00:00,Malaysia,53.0,28.630999,22.331,24.741415,34.597977,26.66963,29.546946,0,0,43656.547,25567.834,2.2,2.2,7.0,5.692099,19.8,95.83946,15.0,3.0780177
86,2010-03-28 00:00:00+00:00,Malaysia,63.0,29.880999,22.431,24.835165,35.674076,27.104832,29.987928,0,0,43664.785,36343.777,19.3,19.3,17.0,5.8603754,21.599998,237.38078,17.48,3.5608234
87,2010-03-29 00:00:00+00:00,Malaysia,55.0,26.281,22.781,24.318499,31.885464,27.712156,29.674791,0,0,43673.06,1421.9595,5.7000003,5.7000003,15.0,5.0911684,17.28,177.91742,8.05,1.6684024
88,2010-03-30 00:00:00+00:00,Malaysia,61.0,30.831,22.480999,25.31642,37.52882,26.972404,30.42549,0,0,43681.363,39600.0,10.799999,10.799999,14.0,9.19939,25.56,253.87228,21.34,4.377014
89,2010-03-31 00:00:00+00:00,Malaysia,61.0,28.880999,22.431,24.703917,36.035774,26.94087,29.78856,0,0,43689.7,27336.133,6.6999993,6.6999993,10.0,6.1094027,19.8,162.8014,16.05,3.247838
90,2010-04-01 00:00:00+00:00,Malaysia,61.0,31.380999,22.630999,25.72058,38.68285,27.132717,30.95167,0,0,43698.055,36931.152,4.5,4.5,8.0,7.2359104,21.599998,93.05283,22.47,4.5740266
91,2010-04-02 00:00:00+00:00,Malaysia,63.0,29.980999,22.681,24.814331,38.281467,27.336603,30.18439,0,0,43706.43,36054.45,11.0,11.0,11.0,7.928177,26.28,333.43503,19.86,3.9520967
92,2010-04-03 00:00:00+00:00,Malaysia,63.0,29.230999,22.431,24.458086,34.97316,26.751951,29.19786,0,0,43714.81,23569.826,14.600001,14.600001,14.0,10.823973,24.48,242.36252,14.35,2.8486722
93,2010-04-04 00:00:00+00:00,Malaysia,53.0,27.331,22.081,24.410166,32.83433,26.208418,29.217485,0,0,43723.2,25957.5,5.2,5.2,15.0,8.161764,27.359999,269.99997,14.27,2.7925625
94,2010-04-05 00:00:00+00:00,Malaysia,61.0,29.980999,22.781,25.433084,36.59963,27.451551,30.635347,0,0,43731.59,39600.0,5.8999996,5.8999996,11.0,6.763786,23.759998,296.5645,20.79,4.170074
95,2010-04-06 00:00:00+00:00,Malaysia,53.0,29.880999,22.730999,25.741415,36.21223,27.7179,31.194254,0,0,43739.973,38858.83,1.7,1.7,5.0,4.379589,17.64,243.43498,17.55,3.5891588
96,2010-04-07 00:00:00+00:00,Malaysia,63.0,29.181,22.581,25.078913,36.88149,27.00607,30.563805,0,0,43748.34,37595.957,18.5,18.5,14.0,5.6920996,20.880001,223.02512,17.81,3.5897706
97,2010-04-08 00:00:00+00:00,Malaysia,51.0,28.181,22.781,25.287249,33.142887,27.659163,30.391344,0,0,43756.695,24197.99,1.8,1.8,8.0,7.6367526,20.16,23.294514,13.1,2.7154782
